crop,disease,description,symptoms,cause,treatment,prevention
Banana,Fusarium_Wilt,"Soil-borne fungal disease caused by Fusarium oxysporum f. sp. cubense, particularly destructive in Tropical Race 4 (TR4) form","Yellowing of older leaves starting from margins, red-brown vascular streaks in pseudostem, plant collapse while standing","Fungal pathogen in soil, spread through contaminated water, tools, and planting material","1. Remove and burn infected plants 2. Soil treatment with biofumigants (mustard meal) 3. Apply Trichoderma biocontrol agents","1. Use resistant varieties (GCTCV-218/219) 2. Implement strict quarantine measures 3. 7-year crop rotation with non-hosts"
Banana,Natural_Death_Leaf,"Natural senescence process of older banana leaves","Gradual yellowing of oldest leaves starting from tips, no vascular discoloration","Normal aging process, accelerated by potassium deficiency","Remove dead leaves to improve air circulation","1. Maintain proper potassium levels 2. Regular leaf pruning 3. Avoid water stress"
Banana,Rhizome_Root_Issues,"Fungal/nematode infections affecting root system","Stunted growth, reddish-brown root discoloration, soft decaying rhizome","Pythium/Fusarium fungi, Radopholus nematodes, waterlogging","1. Carbendazim fungicide applications 2. Biological nematicides (Paecilomyces) 3. Improve drainage","1. Rhizome dip treatment before planting 2. Soil amendments with organic matter 3. Avoid continuous banana monocropping"
Cauliflower,Bacterial_Spot_Rot,"Bacterial disease caused by Pseudomonas syringae affecting leaves and curds","Small water-soaked lesions turning brown/black, spots may coalesce, slimy texture in humid conditions","Pseudomonas bacteria, spread by splashing water, contaminated tools","1. Copper-based bactericides (e.g., copper hydroxide) 2. Remove severely infected plants 3. Apply streptomycin in early stages", "1. Use disease-free seeds 2. Avoid overhead irrigation 3. 3-year crop rotation with non-brassicas"
Cauliflower,Black_Rot,"Xanthomonas campestris pv. campestris infection causing vascular wilt","V-shaped yellow lesions starting at leaf margins, blackened veins, plant stunting","Bacterium survives in crop debris, seed-borne transmission","1. Hot water seed treatment (50°C for 30 min) 2. Copper sprays combined with mancozeb 3. Remove infected plants with 10cm margin","1. Certified pathogen-free seeds 2. Disinfect tools with 70% alcohol 3. Plant resistant varieties (e.g., Pusa Meghna)"
Cauliflower,Downy_Mildew,"Oomycete disease caused by Peronospora parasitica","Yellow angular patches on upper leaves, white fluffy growth underneath, stunted curds","Cool (15-20°C) humid conditions, spores spread by wind","1. Fosetyl-Al or metalaxyl sprays 2. Potassium bicarbonate applications 3. Morning irrigation to allow drying","1. Ensure good air circulation (60cm spacing) 2. Avoid nitrogen excess 3. Remove cruciferous weeds"
Coffee,Leaf_Miner,"Larvae of Leucoptera spp. moths tunneling inside leaves","Silvery serpentine trails on leaves, brown necrotic patches, premature leaf drop","Leucoptera coffeella (Americas) or L. meyricki (Africa)","1. Spinosad (0.05%) or abamectin sprays 2. Release parasitic wasps (Horismenus spp.) 3. Remove and destroy infested leaves","1. Monitor with yellow sticky traps 2. Shade management (40-60% shade reduces outbreaks) 3. Intercrop with repellent plants (e.g., lemongrass)"
Coffee,Phoma,"Fungal disease caused by Phoma costarricensis","Dark brown leaf spots with yellow halos, stem cankers, berry mummification","Phoma fungus thriving in high humidity (>80%)","1. Copper oxychloride (0.3%) + mancozeb sprays 2. Prune infected branches 10cm below cankers 3. Apply Trichoderma asperellum biweekly","1. Improve air circulation (3m planting distance) 2. Avoid overhead irrigation 3. Sanitize pruning tools with bleach"
Coffee,Red_Spider_Mite,"Tetranychus spp. infestation causing leaf damage","Fine webbing on undersides, yellow stippling on leaves, defoliation","Tetranychus urticae (cosmopolitan species)","1. Abamectin (0.015%) or hexythiazox miticides 2. Release predatory mites (Phytoseiulus persimilis) 3. Kaolin clay sprays (5% solution)","1. Maintain 60-70% humidity 2. Weed control (remove alternate hosts) 3. Avoid excessive nitrogen fertilization"
Coffee,Rust,"Hemileia vastatrix fungal infection","Yellow-orange powdery spots on leaf undersides, severe defoliation","Hemileia fungus requiring leaf wetness >12 hours","1. Triazole fungicides (tebuconazole 0.1%) 2. Copper hydroxide protective sprays 3. Silicon fertilizer applications","1. Plant resistant varieties (e.g., Castillo, Obatã) 2. Prune for vertical airflow 3. 2cm mulch layer to reduce spore splash"
